game_id,year,subject_color,result,subject_won,total_plies,eco,ply_first_capture,ply_queens_off,ply_first_minor_trade,endgame_reached_ply,endgame_proportion,ply_castled,castle_side,pawn_shield_score_avg,king_in_center_plies_after_ply30,doubled_pawns_at_move20,isolated_pawns_at_move20,passed_pawns_at_move20,pawn_islands_at_move20,avg_subject_mobility,avg_opponent_mobility,mobility_ratio,subject_captures_total,subject_checks_total,material_max_deficit,material_max_surplus,accepted_material_deficit_for_10_plies_and_didnt_lose
243,1983,w,1-0,1.0,63,A60,8,59,33,-1,0.0,19,k,3.0,0,0,1,1,2,45.25,41.57142857142857,1.103408272348457,8,0,10,2,1
244,1983,w,1/2-1/2,0.5,86,D44,10,-1,18,-1,0.0,29,k,2.6,0,2,1,1,2,44.0,42.04761904761905,1.0608528348173192,11,10,3,3,1
245,1983,w,1/2-1/2,0.5,128,D58,7,86,25,86,0.3359375,19,k,2.7,0,0,0,0,2,42.0,35.285714285714285,1.1868970143172266,10,8,3,9,0
247,1983,w,1/2-1/2,0.5,48,D58,7,-1,26,-1,0.0,19,k,3.0,0,0,0,0,2,46.42857142857143,38.666666666666664,1.227926371568868,7,1,3,3,0
249,1983,w,1-0,1.0,76,D58,7,-1,24,-1,0.0,19,k,2.8,0,2,0,0,2,41.15,32.476190476190474,1.2945581352851083,8,4,5,4,0
251,1983,w,1/2-1/2,0.5,42,D58,7,-1,21,-1,0.0,19,k,2.1818181818181817,0,0,1,0,3,44.18181818181818,41.583333333333336,1.057410379853949,5,0,3,3,0
253,1983,w,1-0,1.0,63,A43,31,-1,47,-1,0.0,15,k,2.3,0,0,0,0,1,41.0,31.61904761904762,1.3404616960310693,4,2,3,4,0
255,1983,w,1-0,1.0,101,A93,38,66,59,-1,0.0,11,k,3.0,0,0,1,0,2,41.15,40.095238095238095,1.0230179244992208,10,3,3,8,0
257,1983,w,1-0,1.0,69,E12,11,-1,14,-1,0.0,21,k,3.0,0,0,1,0,2,41.05,38.476190476190474,1.0852070966766894,8,10,5,1,0
259,1983,w,1-0,1.0,51,E49,10,-1,10,-1,0.0,21,k,2.5625,0,0,1,0,2,33.8125,37.75,0.8907860147387299,6,0,3,1,0
261,1983,w,0-1,0.0,66,E84,20,-1,23,-1,0.0,25,q,0.95,0,0,0,0,2,44.2,38.333333333333336,1.1715505526166554,8,5,3,2,0
263,1983,w,1/2-1/2,0.5,65,E11,20,-1,20,-1,0.0,25,k,2.7,0,0,0,0,2,48.45,37.80952380952381,1.3029958444565963,8,1,4,4,0
265,1983,w,1/2-1/2,0.5,66,E04,8,-1,16,-1,0.0,11,k,3.0,0,0,1,0,2,35.1,32.857142857142854,1.0960916476503526,9,1,6,3,1
267,1983,w,1-0,1.0,73,E17,15,50,20,-1,0.0,23,k,2.95,0,0,0,0,2,38.9,40.38095238095238,0.9718331896625638,9,1,3,11,0
269,1984,w,1/2-1/2,0.5,47,D59,17,-1,19,-1,0.0,25,k,2.857142857142857,0,0,0,0,2,39.857142857142854,38.57142857142857,1.0238720570050184,7,0,0.0,5,0
271,1984,w,1-0,1.0,67,D55,13,-1,13,-1,0.0,21,q,1.9,0,0,0,0,2,44.5,38.23809523809524,1.1716863004854496,8,2,3,6,0
273,1984,w,1/2-1/2,0.5,93,E17,14,-1,35,-1,0.0,11,k,1.35,0,0,0,0,2,46.6,40.095238095238095,1.1867267964957064,9,3,6,4,1
